delivery_partner,package_type,vehicle_type,delivery_mode,region,weather_condition,distance_km,package_weight_kg,delivery_rating,delivery_cost,Delivery_Status
delhivery,automobile parts,bike,same day,west,clear,297.0,46.96,3,1632.7206,delivered
xpressbees,cosmetics,ev van,express,central,cold,89.6,47.39,5,640.17,delivered
shadowfax,groceries,truck,two day,east,rainy,273.5,26.89,4,1448.17,delivered
dhl,electronics,ev van,same day,east,cold,269.7,12.69,3,1486.57,delivered
dhl,clothing,van,two day,north,foggy,256.7,37.02,4,1394.56,delivered
amazon logistics,documents,ev bike,express,west,rainy,48.4,33.15,3,391.45,delayed
delhivery,groceries,scooter,same day,central,clear,198.3,43.79,3,1222.87,delivered
xpressbees,fragile items,van,same day,north,cold,114.6,42.63,3,800.89,delivered
blue dart,clothing,van,same day,south,hot,142.4,14.06,5,854.18,delivered
delhivery,pharmacy,truck,same day,east,foggy,47.1,29.28,5,423.34,delivered
fedex,groceries,scooter,same day,east,cold,293.2,22.05,4,1632.15,delivered
ecom express,electronics,truck,two day,east,cold,80.4,46.48,5,541.44,delivered
xpressbees,pharmacy,ev van,two day,north,rainy,257.7,20.56,4,1350.18,delivered
xpressbees,cosmetics,bike,express,east,stormy,19.0,3.36,1,155.08,failed
xpressbees,automobile parts,ev bike,two day,east,stormy,237.9,24.59,3,1263.27,delivered
amazon logistics,furniture,ev van,express,north,hot,239.3,11.67,3,1281.51,delayed
fedex,documents,bike,standard,west,stormy,79.0,0.73,5,397.19,delivered
blue dart,fragile items,ev bike,standard,central,rainy,170.7,45.62,5,990.36,delivered
amazon logistics,documents,van,same day,north,rainy,90.0,33.7,3,651.1,delivered
fedex,cosmetics,truck,express,north,rainy,64.0,6.03,2,388.09,failed
fedex,automobile parts,scooter,two day,east,foggy,185.9,19.1,4,986.8,delivered
dhl,electronics,scooter,two day,west,stormy,217.9,14.08,4,1131.74,delivered
blue dart,automobile parts,scooter,same day,north,cold,214.1,40.85,5,1293.05,delivered
ecom express,clothing,bike,standard,central,clear,251.7,34.9,4,1363.2,delivered
amazon logistics,furniture,van,standard,east,foggy,214.9,5.67,5,1091.51,delivered
shadowfax,documents,ev van,two day,north,stormy,115.4,0.67,4,578.59,delivered
dhl,clothing,ev bike,express,east,foggy,293.8,41.03,3,1632.7206,delayed
amazon logistics,cosmetics,scooter,standard,east,clear,286.8,46.67,3,1574.01,delivered
fedex,furniture,truck,express,south,hot,136.1,48.1,5,874.8,delivered
dhl,furniture,bike,two day,east,rainy,291.4,6.12,5,1475.36,delivered
fedex,furniture,bike,standard,south,hot,295.0,19.68,5,1534.04,delivered
ekart,cosmetics,truck,same day,central,rainy,223.3,6.29,1,1235.37,failed
delhivery,automobile parts,scooter,express,south,hot,242.5,46.73,1,1402.69,failed
fedex,furniture,ev bike,two day,central,rainy,35.1,22.72,5,243.66,delivered
amazon logistics,clothing,bike,express,central,stormy,81.8,45.51,2,595.53,delayed
delhivery,documents,bike,same day,east,clear,37.6,22.81,4,356.43,delivered
amazon logistics,furniture,ev bike,express,north,rainy,46.8,4.72,2,298.16,delayed
amazon logistics,electronics,scooter,same day,central,hot,233.4,18.0,5,1321.0,delivered
ekart,documents,bike,standard,east,rainy,62.2,48.58,3,456.74,delivered
shadowfax,clothing,ev bike,standard,south,foggy,114.0,43.85,4,701.55,delivered
blue dart,automobile parts,ev bike,same day,north,foggy,131.5,25.79,5,834.87,delivered
xpressbees,groceries,ev van,express,south,rainy,21.4,16.58,3,206.74,delayed
xpressbees,fragile items,truck,standard,west,stormy,258.5,8.37,5,1317.61,delivered
dhl,furniture,van,two day,east,rainy,253.9,7.07,3,1290.71,delivered
delhivery,furniture,ev bike,same day,north,stormy,6.7,7.96,4,157.38,delivered
ecom express,automobile parts,ev bike,standard,west,hot,178.1,26.7,4,970.6,delivered
fedex,cosmetics,truck,standard,south,hot,180.0,35.04,3,1005.12,delivered
ecom express,documents,scooter,two day,north,rainy,187.9,14.96,4,984.38,delivered
xpressbees,documents,ev van,express,west,hot,78.3,49.22,1,589.16,failed
amazon logistics,pharmacy,ev bike,express,west,hot,51.6,23.45,4,378.35,delivered
xpressbees,electronics,ev van,same day,central,stormy,26.9,29.86,5,324.08,delivered
blue dart,clothing,truck,express,north,hot,216.7,26.89,2,1214.17,delayed
dhl,electronics,van,standard,south,foggy,148.2,38.6,4,856.8,delivered
fedex,cosmetics,ev van,same day,south,clear,184.2,46.79,4,1161.37,delivered
fedex,groceries,truck,same day,east,stormy,167.7,42.4,5,1065.7,delivered
delhivery,electronics,ev bike,standard,central,cold,197.7,25.84,5,1066.02,delivered
fedex,cosmetics,ev van,standard,north,foggy,211.9,46.94,5,1200.32,delivered
blue dart,pharmacy,scooter,same day,west,stormy,64.3,21.05,5,484.65,delivered
xpressbees,cosmetics,scooter,two day,east,hot,206.7,3.87,4,1045.11,delivered
xpressbees,clothing,bike,two day,east,cold,83.5,6.81,5,437.93,delivered
ecom express,fragile items,truck,same day,central,foggy,9.3,47.62,5,289.36,delivered
xpressbees,clothing,ev bike,standard,west,rainy,245.9,47.01,3,1370.53,delivered
dhl,pharmacy,ev van,express,north,stormy,225.7,45.7,2,1315.6,delayed
ecom express,pharmacy,bike,express,east,hot,226.0,37.62,2,1292.86,delayed
dhl,clothing,bike,two day,west,hot,113.3,34.03,5,668.59,delivered
ekart,groceries,ev bike,standard,north,stormy,232.3,41.91,4,1287.23,delivered
ecom express,electronics,scooter,express,east,cold,87.7,22.38,2,555.64,failed
dhl,furniture,van,same day,east,rainy,90.1,27.46,4,632.88,delivered
delhivery,cosmetics,bike,express,north,rainy,110.4,44.94,2,736.82,delayed
fedex,documents,bike,same day,central,cold,217.3,3.03,5,1195.59,delivered
amazon logistics,furniture,truck,standard,south,rainy,75.2,28.25,3,460.75,delivered
blue dart,automobile parts,ev bike,two day,south,hot,23.2,19.18,5,173.54,delivered
fedex,documents,ev van,express,north,rainy,78.5,27.87,3,526.11,delayed
blue dart,documents,van,express,north,hot,138.3,47.87,3,885.11,delayed
xpressbees,clothing,truck,two day,north,cold,96.4,39.33,4,599.99,delivered
fedex,furniture,ev van,standard,west,cold,216.2,23.93,4,1152.79,delivered
ekart,clothing,van,express,south,stormy,24.1,34.1,3,272.8,delayed
ekart,fragile items,scooter,standard,east,rainy,197.1,28.23,4,1070.19,delivered
shadowfax,documents,ev bike,same day,west,foggy,94.8,10.02,4,604.06,delivered
xpressbees,pharmacy,bike,express,south,hot,56.0,22.91,2,398.73,delayed
ecom express,clothing,scooter,same day,east,stormy,70.7,5.72,3,470.66,delayed
dhl,documents,bike,same day,east,rainy,60.4,22.93,5,470.79,delivered
blue dart,clothing,truck,same day,central,stormy,258.4,22.08,2,1458.24,failed
amazon logistics,furniture,scooter,two day,central,cold,89.3,34.98,4,551.44,delivered
shadowfax,electronics,van,two day,south,clear,244.0,13.62,4,1260.86,delivered
xpressbees,electronics,truck,standard,south,stormy,87.8,19.77,4,498.31,delivered
delhivery,furniture,scooter,same day,east,stormy,3.6,20.7,4,172.6,delivered
ekart,furniture,van,two day,south,cold,3.6,8.75,3,95.6674,delivered
xpressbees,documents,van,standard,east,rainy,111.0,36.68,4,665.04,delivered
amazon logistics,groceries,bike,express,east,rainy,256.4,33.53,3,1432.59,delayed
dhl,groceries,ev van,same day,east,foggy,177.9,20.16,5,1049.98,delivered
amazon logistics,cosmetics,ev van,two day,east,rainy,204.2,8.09,4,1045.27,delivered
amazon logistics,furniture,ev bike,standard,central,cold,125.0,39.41,5,743.23,delivered
dhl,fragile items,bike,two day,north,hot,83.3,34.71,4,520.63,delivered
ecom express,clothing,van,standard,west,foggy,193.2,33.28,4,1065.84,delivered
ekart,clothing,van,two day,east,foggy,174.3,47.29,5,1013.37,delivered
ekart,groceries,bike,same day,west,clear,11.4,40.22,5,277.66,delivered
xpressbees,electronics,ev van,express,east,clear,166.4,44.96,2,1016.88,delayed
shadowfax,cosmetics,van,standard,west,stormy,189.6,38.07,5,1062.21,delivered
blue dart,groceries,truck,express,west,stormy,111.2,37.33,2,717.99,delayed
amazon logistics,groceries,ev bike,same day,west,hot,103.2,37.97,5,729.91,delivered
blue dart,furniture,scooter,standard,east,clear,236.4,47.28,4,1323.84,delivered
amazon logistics,electronics,van,same day,central,clear,111.9,26.34,5,738.52,delivered
delhivery,groceries,ev van,standard,south,stormy,86.6,20.64,5,494.92,delivered
amazon logistics,automobile parts,ev bike,standard,west,clear,235.6,48.07,5,1322.21,delivered
amazon logistics,pharmacy,truck,same day,south,cold,295.5,48.45,4,1632.7206,delivered
amazon logistics,pharmacy,truck,two day,west,foggy,56.3,43.65,5,412.45,delivered
shadowfax,furniture,bike,two day,central,stormy,114.2,28.82,5,657.46,delivered
fedex,furniture,scooter,same day,north,hot,3.6,31.41,4,203.23,delivered
xpressbees,automobile parts,bike,same day,west,stormy,146.2,22.55,2,898.65,failed
ekart,automobile parts,ev bike,same day,east,clear,85.6,10.69,4,560.07,delivered
amazon logistics,groceries,ev van,express,south,rainy,247.9,5.23,2,1305.19,failed
shadowfax,automobile parts,bike,standard,south,foggy,274.8,0.82,4,1376.46,delivered
fedex,electronics,scooter,standard,west,clear,35.7,10.8,3,210.9,delivered
fedex,documents,van,express,central,stormy,259.3,27.01,1,1427.53,failed
shadowfax,documents,ev bike,same day,south,clear,65.3,45.09,5,561.77,delivered
delhivery,cosmetics,van,express,south,clear,93.1,20.89,3,578.17,delivered
blue dart,pharmacy,bike,standard,central,hot,265.8,32.11,5,1425.33,delivered
ekart,furniture,truck,two day,west,clear,110.2,23.24,4,620.72,delivered
blue dart,documents,bike,standard,west,clear,6.0,0.88,4,95.6674,delivered
dhl,furniture,truck,two day,east,foggy,16.5,21.49,4,146.97,delivered
xpressbees,documents,ev van,standard,north,cold,102.0,18.67,4,566.01,delivered
shadowfax,furniture,bike,express,north,rainy,265.4,15.96,3,1424.88,delayed
fedex,groceries,ev van,two day,north,foggy,27.5,15.43,5,183.79,delivered
amazon logistics,fragile items,truck,two day,south,hot,59.5,7.79,3,320.87,delivered
shadowfax,cosmetics,bike,express,north,cold,290.2,29.26,4,1588.78,delivered
delhivery,clothing,scooter,standard,east,rainy,124.0,40.2,4,740.6,delivered
xpressbees,automobile parts,scooter,two day,north,clear,261.9,41.68,4,1434.54,delivered
shadowfax,pharmacy,ev van,two day,central,rainy,115.6,13.57,5,618.71,delivered
shadowfax,groceries,ev bike,express,east,hot,156.0,14.49,3,873.47,delivered
shadowfax,furniture,van,standard,north,foggy,284.1,14.35,4,1463.55,delivered
fedex,clothing,truck,same day,north,cold,287.0,8.21,1,1559.63,failed
delhivery,electronics,van,two day,north,foggy,50.5,31.28,4,346.34,delivered
shadowfax,groceries,van,two day,west,foggy,203.3,7.5,4,1039.0,delivered
amazon logistics,fragile items,truck,same day,west,hot,127.8,20.03,3,799.09,delivered
ekart,groceries,scooter,two day,east,cold,45.8,27.22,5,310.66,delivered
shadowfax,groceries,ev bike,same day,west,hot,8.7,33.93,5,245.29,delivered
delhivery,automobile parts,ev van,standard,north,rainy,152.8,48.37,4,909.11,delivered
dhl,automobile parts,ev van,same day,south,rainy,29.0,40.89,4,367.67,delivered
dhl,furniture,scooter,standard,north,clear,281.6,19.81,3,1467.43,delivered
ecom express,electronics,van,same day,east,stormy,75.7,41.47,2,602.91,delayed
blue dart,cosmetics,scooter,standard,north,cold,132.5,14.18,4,705.04,delivered
ekart,cosmetics,truck,standard,west,rainy,218.2,34.0,5,1193.0,delivered
dhl,automobile parts,scooter,express,east,rainy,152.8,10.46,2,845.38,delayed
ecom express,automobile parts,van,same day,west,cold,113.8,21.95,3,734.85,delivered
amazon logistics,pharmacy,bike,standard,east,clear,189.3,30.78,5,1038.84,delivered
delhivery,electronics,truck,two day,north,rainy,60.1,40.63,3,422.39,delivered
ekart,documents,truck,same day,south,foggy,147.7,46.57,4,978.21,delivered
amazon logistics,cosmetics,truck,two day,north,cold,289.0,48.99,4,1591.97,delivered
delhivery,pharmacy,van,express,north,cold,235.6,42.35,3,1355.05,delayed
amazon logistics,groceries,ev bike,same day,central,cold,101.1,9.76,4,634.78,delivered
ekart,groceries,truck,two day,central,cold,273.9,42.56,3,1497.18,delivered
ecom express,cosmetics,scooter,standard,north,clear,262.6,29.36,4,1401.08,delivered
ekart,groceries,van,two day,east,clear,82.2,18.81,3,467.43,delivered
dhl,clothing,truck,same day,south,cold,280.3,15.29,4,1547.37,delivered
shadowfax,automobile parts,bike,same day,east,foggy,146.1,36.12,2,938.86,delayed
blue dart,groceries,van,same day,west,clear,279.9,21.63,2,1564.39,failed
shadowfax,documents,ev van,same day,south,stormy,165.4,43.2,2,1056.6,delayed
fedex,electronics,van,two day,central,cold,29.9,47.31,3,291.43,delivered
amazon logistics,furniture,truck,standard,north,hot,42.6,44.55,4,346.65,delivered
ecom express,automobile parts,ev bike,standard,east,foggy,149.9,23.31,4,819.43,delivered
shadowfax,clothing,scooter,standard,west,rainy,8.4,44.16,4,174.48,delivered
