delivery_id,delivery_partner,package_type,vehicle_type,delivery_mode,region,weather_condition,distance_km,package_weight_kg,delivery_time_hours,expected_time_hours,delayed,delivery_status,delivery_rating,delivery_cost,is_duplicate,delay_hours,is_heavy
250.99,delhivery,automobile parts,bike,same day,west,clear,297.0,46.96,0.0,0.0,no,delivered,3,1632.7206,0,0.0,1
250.99,xpressbees,cosmetics,ev van,express,central,cold,89.6,47.39,0.0,0.0,no,delivered,5,640.17,0,0.0,1
250.99,shadowfax,groceries,truck,two day,east,rainy,273.5,26.89,0.0,0.0,no,delivered,4,1448.17,0,0.0,1
250.99,dhl,electronics,ev van,same day,east,cold,269.7,12.69,0.0,0.0,no,delivered,3,1486.57,0,0.0,1
250.99,dhl,clothing,van,two day,north,foggy,256.7,37.02,0.0,0.0,no,delivered,4,1394.56,0,0.0,1
250.99,amazon logistics,documents,ev bike,express,west,rainy,48.4,33.15,0.0,0.0,yes,delayed,3,391.45,0,0.0,1
250.99,delhivery,groceries,scooter,same day,central,clear,198.3,43.79,0.0,0.0,no,delivered,3,1222.87,0,0.0,1
250.99,xpressbees,fragile items,van,same day,north,cold,114.6,42.63,0.0,0.0,no,delivered,3,800.89,0,0.0,1
250.99,blue dart,clothing,van,same day,south,hot,142.4,14.06,0.0,0.0,no,delivered,5,854.18,0,0.0,1
250.99,delhivery,pharmacy,truck,same day,east,foggy,47.1,29.28,0.0,0.0,no,delivered,5,423.34,0,0.0,1
250.99,fedex,groceries,scooter,same day,east,cold,293.2,22.05,0.0,0.0,no,delivered,4,1632.15,0,0.0,1
250.99,ecom express,electronics,truck,two day,east,cold,80.4,46.48,0.0,0.0,no,delivered,5,541.44,0,0.0,1
250.99,xpressbees,pharmacy,ev van,two day,north,rainy,257.7,20.56,0.0,0.0,no,delivered,4,1350.18,0,0.0,1
250.99,xpressbees,cosmetics,bike,express,east,stormy,19.0,3.36,0.0,0.0,yes,failed,1,155.08,0,0.0,0
250.99,xpressbees,automobile parts,ev bike,two day,east,stormy,237.9,24.59,0.0,0.0,no,delivered,3,1263.27,0,0.0,1
250.99,amazon logistics,furniture,ev van,express,north,hot,239.3,11.67,0.0,0.0,yes,delayed,3,1281.51,0,0.0,1
250.99,fedex,documents,bike,standard,west,stormy,79.0,0.73,0.0,0.0,no,delivered,5,397.19,0,0.0,0
250.99,blue dart,fragile items,ev bike,standard,central,rainy,170.7,45.62,0.0,0.0,no,delivered,5,990.36,0,0.0,1
250.99,amazon logistics,documents,van,same day,north,rainy,90.0,33.7,0.0,0.0,no,delivered,3,651.1,0,0.0,1
250.99,fedex,cosmetics,truck,express,north,rainy,64.0,6.03,0.0,0.0,yes,failed,2,388.09,0,0.0,0
250.99,fedex,automobile parts,scooter,two day,east,foggy,185.9,19.1,0.0,0.0,no,delivered,4,986.8,0,0.0,1
250.99,dhl,electronics,scooter,two day,west,stormy,217.9,14.08,0.0,0.0,no,delivered,4,1131.74,0,0.0,1
250.99,blue dart,automobile parts,scooter,same day,north,cold,214.1,40.85,0.0,0.0,no,delivered,5,1293.05,0,0.0,1
250.99,ecom express,clothing,bike,standard,central,clear,251.7,34.9,0.0,0.0,no,delivered,4,1363.2,0,0.0,1
250.99,amazon logistics,furniture,van,standard,east,foggy,214.9,5.67,0.0,0.0,no,delivered,5,1091.51,0,0.0,0
250.99,shadowfax,documents,ev van,two day,north,stormy,115.4,0.67,0.0,0.0,no,delivered,4,578.59,0,0.0,0
250.99,dhl,clothing,ev bike,express,east,foggy,293.8,41.03,0.0,0.0,yes,delayed,3,1632.7206,0,0.0,1
250.99,amazon logistics,cosmetics,scooter,standard,east,clear,286.8,46.67,0.0,0.0,no,delivered,3,1574.01,0,0.0,1
250.99,fedex,furniture,truck,express,south,hot,136.1,48.1,0.0,0.0,no,delivered,5,874.8,0,0.0,1
250.99,dhl,furniture,bike,two day,east,rainy,291.4,6.12,0.0,0.0,no,delivered,5,1475.36,0,0.0,0
250.99,fedex,furniture,bike,standard,south,hot,295.0,19.68,0.0,0.0,no,delivered,5,1534.04,0,0.0,1
250.99,ekart,cosmetics,truck,same day,central,rainy,223.3,6.29,0.0,0.0,yes,failed,1,1235.37,0,0.0,0
250.99,delhivery,automobile parts,scooter,express,south,hot,242.5,46.73,0.0,0.0,yes,failed,1,1402.69,0,0.0,1
250.99,fedex,furniture,ev bike,two day,central,rainy,35.1,22.72,0.0,0.0,no,delivered,5,243.66,0,0.0,1
250.99,amazon logistics,clothing,bike,express,central,stormy,81.8,45.51,0.0,0.0,yes,delayed,2,595.53,0,0.0,1
250.99,delhivery,documents,bike,same day,east,clear,37.6,22.81,0.0,0.0,no,delivered,4,356.43,0,0.0,1
250.99,amazon logistics,furniture,ev bike,express,north,rainy,46.8,4.72,0.0,0.0,yes,delayed,2,298.16,0,0.0,0
250.99,amazon logistics,electronics,scooter,same day,central,hot,233.4,18.0,0.0,0.0,no,delivered,5,1321.0,0,0.0,1
250.99,ekart,documents,bike,standard,east,rainy,62.2,48.58,0.0,0.0,no,delivered,3,456.74,0,0.0,1
250.99,shadowfax,clothing,ev bike,standard,south,foggy,114.0,43.85,0.0,0.0,no,delivered,4,701.55,0,0.0,1
250.99,blue dart,automobile parts,ev bike,same day,north,foggy,131.5,25.79,0.0,0.0,no,delivered,5,834.87,0,0.0,1
250.99,xpressbees,groceries,ev van,express,south,rainy,21.4,16.58,0.0,0.0,yes,delayed,3,206.74,0,0.0,1
250.99,xpressbees,fragile items,truck,standard,west,stormy,258.5,8.37,0.0,0.0,no,delivered,5,1317.61,0,0.0,0
250.99,dhl,furniture,van,two day,east,rainy,253.9,7.07,0.0,0.0,no,delivered,3,1290.71,0,0.0,0
250.99,delhivery,furniture,ev bike,same day,north,stormy,6.7,7.96,0.0,0.0,no,delivered,4,157.38,0,0.0,0
250.99,ecom express,automobile parts,ev bike,standard,west,hot,178.1,26.7,0.0,0.0,no,delivered,4,970.6,0,0.0,1
250.99,fedex,cosmetics,truck,standard,south,hot,180.0,35.04,0.0,0.0,no,delivered,3,1005.12,0,0.0,1
250.99,ecom express,documents,scooter,two day,north,rainy,187.9,14.96,0.0,0.0,no,delivered,4,984.38,0,0.0,1
250.99,xpressbees,documents,ev van,express,west,hot,78.3,49.22,0.0,0.0,yes,failed,1,589.16,0,0.0,1
250.99,amazon logistics,pharmacy,ev bike,express,west,hot,51.6,23.45,0.0,0.0,no,delivered,4,378.35,0,0.0,1
250.99,xpressbees,electronics,ev van,same day,central,stormy,26.9,29.86,0.0,0.0,no,delivered,5,324.08,0,0.0,1
250.99,blue dart,clothing,truck,express,north,hot,216.7,26.89,0.0,0.0,yes,delayed,2,1214.17,0,0.0,1
250.99,dhl,electronics,van,standard,south,foggy,148.2,38.6,0.0,0.0,no,delivered,4,856.8,0,0.0,1
250.99,fedex,cosmetics,ev van,same day,south,clear,184.2,46.79,0.0,0.0,no,delivered,4,1161.37,0,0.0,1
250.99,fedex,groceries,truck,same day,east,stormy,167.7,42.4,0.0,0.0,no,delivered,5,1065.7,0,0.0,1
250.99,delhivery,electronics,ev bike,standard,central,cold,197.7,25.84,0.0,0.0,no,delivered,5,1066.02,0,0.0,1
250.99,fedex,cosmetics,ev van,standard,north,foggy,211.9,46.94,0.0,0.0,no,delivered,5,1200.32,0,0.0,1
250.99,blue dart,pharmacy,scooter,same day,west,stormy,64.3,21.05,0.0,0.0,no,delivered,5,484.65,0,0.0,1
250.99,xpressbees,cosmetics,scooter,two day,east,hot,206.7,3.87,0.0,0.0,no,delivered,4,1045.11,0,0.0,0
250.99,xpressbees,clothing,bike,two day,east,cold,83.5,6.81,0.0,0.0,no,delivered,5,437.93,0,0.0,0
250.99,ecom express,fragile items,truck,same day,central,foggy,9.3,47.62,0.0,0.0,no,delivered,5,289.36,0,0.0,1
250.99,xpressbees,clothing,ev bike,standard,west,rainy,245.9,47.01,0.0,0.0,no,delivered,3,1370.53,0,0.0,1
250.99,dhl,pharmacy,ev van,express,north,stormy,225.7,45.7,0.0,0.0,yes,delayed,2,1315.6,0,0.0,1
250.99,ecom express,pharmacy,bike,express,east,hot,226.0,37.62,0.0,0.0,yes,delayed,2,1292.86,0,0.0,1
250.99,dhl,clothing,bike,two day,west,hot,113.3,34.03,0.0,0.0,no,delivered,5,668.59,0,0.0,1
250.99,ekart,groceries,ev bike,standard,north,stormy,232.3,41.91,0.0,0.0,no,delivered,4,1287.23,0,0.0,1
250.99,ecom express,electronics,scooter,express,east,cold,87.7,22.38,0.0,0.0,yes,failed,2,555.64,0,0.0,1
250.99,dhl,furniture,van,same day,east,rainy,90.1,27.46,0.0,0.0,no,delivered,4,632.88,0,0.0,1
250.99,delhivery,cosmetics,bike,express,north,rainy,110.4,44.94,0.0,0.0,yes,delayed,2,736.82,0,0.0,1
250.99,fedex,documents,bike,same day,central,cold,217.3,3.03,0.0,0.0,no,delivered,5,1195.59,0,0.0,0
250.99,amazon logistics,furniture,truck,standard,south,rainy,75.2,28.25,0.0,0.0,no,delivered,3,460.75,0,0.0,1
250.99,blue dart,automobile parts,ev bike,two day,south,hot,23.2,19.18,0.0,0.0,no,delivered,5,173.54,0,0.0,1
250.99,fedex,documents,ev van,express,north,rainy,78.5,27.87,0.0,0.0,yes,delayed,3,526.11,0,0.0,1
250.99,blue dart,documents,van,express,north,hot,138.3,47.87,0.0,0.0,yes,delayed,3,885.11,0,0.0,1
250.99,xpressbees,clothing,truck,two day,north,cold,96.4,39.33,0.0,0.0,no,delivered,4,599.99,0,0.0,1
250.99,fedex,furniture,ev van,standard,west,cold,216.2,23.93,0.0,0.0,no,delivered,4,1152.79,0,0.0,1
250.99,ekart,clothing,van,express,south,stormy,24.1,34.1,0.0,0.0,yes,delayed,3,272.8,0,0.0,1
250.99,ekart,fragile items,scooter,standard,east,rainy,197.1,28.23,0.0,0.0,no,delivered,4,1070.19,0,0.0,1
250.99,shadowfax,documents,ev bike,same day,west,foggy,94.8,10.02,0.0,0.0,no,delivered,4,604.06,0,0.0,1
250.99,xpressbees,pharmacy,bike,express,south,hot,56.0,22.91,0.0,0.0,yes,delayed,2,398.73,0,0.0,1
250.99,ecom express,clothing,scooter,same day,east,stormy,70.7,5.72,0.0,0.0,yes,delayed,3,470.66,0,0.0,0
250.99,dhl,documents,bike,same day,east,rainy,60.4,22.93,0.0,0.0,no,delivered,5,470.79,0,0.0,1
250.99,blue dart,clothing,truck,same day,central,stormy,258.4,22.08,0.0,0.0,yes,failed,2,1458.24,0,0.0,1
250.99,amazon logistics,furniture,scooter,two day,central,cold,89.3,34.98,0.0,0.0,no,delivered,4,551.44,0,0.0,1
250.99,shadowfax,electronics,van,two day,south,clear,244.0,13.62,0.0,0.0,no,delivered,4,1260.86,0,0.0,1
250.99,xpressbees,electronics,truck,standard,south,stormy,87.8,19.77,0.0,0.0,no,delivered,4,498.31,0,0.0,1
250.99,delhivery,furniture,scooter,same day,east,stormy,3.6,20.7,0.0,0.0,no,delivered,4,172.6,0,0.0,1
250.99,ekart,furniture,van,two day,south,cold,3.6,8.75,0.0,0.0,no,delivered,3,95.6674,0,0.0,0
250.99,xpressbees,documents,van,standard,east,rainy,111.0,36.68,0.0,0.0,no,delivered,4,665.04,0,0.0,1
250.99,amazon logistics,groceries,bike,express,east,rainy,256.4,33.53,0.0,0.0,yes,delayed,3,1432.59,0,0.0,1
250.99,dhl,groceries,ev van,same day,east,foggy,177.9,20.16,0.0,0.0,no,delivered,5,1049.98,0,0.0,1
